"Block","Trial","Arrow","Condition","Correct","RT","subj_num","Time","Task"
2,23,1,2,1,0.60479,1,1,"Flanker"
2,24,1,1,1,0.43692,1,1,"Flanker"
2,25,1,2,0,0.41036,1,1,"Flanker"
2,26,2,2,1,0.43137,1,1,"Flanker"
2,27,2,2,1,0.48331,1,1,"Flanker"
2,28,1,0,1,0.37732,1,1,"Flanker"
2,29,1,0,1,0.48562,1,1,"Flanker"
2,30,2,0,1,0.40255,1,1,"Flanker"
2,31,1,2,1,0.37543,1,1,"Flanker"
2,32,1,0,1,0.44376,1,1,"Flanker"
2,33,1,1,1,0.45783,1,1,"Flanker"
2,34,2,1,1,0.39649,1,1,"Flanker"
2,35,1,2,1,0.40733,1,1,"Flanker"
2,36,2,2,1,0.42857,1,1,"Flanker"
2,37,2,1,1,0.4408,1,1,"Flanker"
2,38,1,1,1,0.34206,1,1,"Flanker"
2,39,2,2,1,0.33756,1,1,"Flanker"
2,40,2,1,1,0.48229,1,1,"Flanker"
2,41,2,1,1,0.45642,1,1,"Flanker"
2,42,1,1,1,0.38907,1,1,"Flanker"
2,43,2,0,1,0.34075,1,1,"Flanker"
2,44,1,0,1,0.32326,1,1,"Flanker"
2,45,1,1,1,0.51932,1,1,"Flanker"
2,46,1,1,1,0.46211,1,1,"Flanker"
2,47,2,0,1,0.42702,1,1,"Flanker"
2,48,2,0,1,0.4871,1,1,"Flanker"
2,49,1,2,1,0.41429,1,1,"Flanker"
2,50,1,0,1,0.46679,1,1,"Flanker"
2,51,2,0,1,0.36798,1,1,"Flanker"
2,52,1,2,1,0.4113,1,1,"Flanker"
2,53,2,2,1,0.39188,1,1,"Flanker"
2,54,2,1,1,0.47457,1,1,"Flanker"
2,55,2,2,1,0.55432,1,1,"Flanker"
2,56,2,0,1,0.35285,1,1,"Flanker"
2,57,2,0,1,0.34581,1,1,"Flanker"
2,58,1,0,1,0.42419,1,1,"Flanker"
2,59,1,2,0,0.43526,1,1,"Flanker"
2,60,2,0,1,0.35901,1,1,"Flanker"
2,61,2,2,0,0.4333,1,1,"Flanker"
2,62,2,1,1,0.36544,1,1,"Flanker"
2,63,1,1,1,0.38452,1,1,"Flanker"
2,64,1,1,1,0.44495,1,1,"Flanker"
2,65,2,1,1,0.37925,1,1,"Flanker"
2,66,1,0,1,0.34929,1,1,"Flanker"
2,67,2,0,1,0.41547,1,1,"Flanker"
2,68,2,1,1,0.43773,1,1,"Flanker"
2,69,1,1,1,0.36269,1,1,"Flanker"
2,70,1,2,0,0.29302,1,1,"Flanker"
2,71,1,2,1,0.46222,1,1,"Flanker"
2,72,1,2,1,0.9067,1,1,"Flanker"
2,73,1,1,1,0.42697,1,1,"Flanker"
2,74,1,0,1,0.36212,1,1,"Flanker"
2,75,2,2,1,0.41818,1,1,"Flanker"
2,76,1,1,1,0.28134,1,1,"Flanker"
2,77,2,0,1,0.38449,1,1,"Flanker"
2,78,2,0,1,0.41258,1,1,"Flanker"
2,79,1,0,1,0.35432,1,1,"Flanker"
2,80,2,1,1,0.36453,1,1,"Flanker"
2,81,2,2,1,0.39043,1,1,"Flanker"
2,82,1,1,1,0.35516,1,1,"Flanker"
2,83,1,2,0,0.40551,1,1,"Flanker"
2,84,2,0,1,0.38568,1,1,"Flanker"
2,85,1,0,1,0.40625,1,1,"Flanker"
2,86,2,2,1,0.36141,1,1,"Flanker"
2,87,2,2,1,0.41239,1,1,"Flanker"
2,88,1,1,1,0.37633,1,1,"Flanker"
2,89,1,1,1,0.38278,1,1,"Flanker"
2,90,1,0,1,0.40902,1,1,"Flanker"
2,91,1,1,1,0.35432,1,1,"Flanker"
2,92,2,1,1,0.39133,1,1,"Flanker"
2,93,1,1,1,0.40271,1,1,"Flanker"
2,94,1,2,0,0.43261,1,1,"Flanker"
2,95,1,0,1,0.44212,1,1,"Flanker"
2,96,2,0,1,0.39361,1,1,"Flanker"
2,97,2,0,1,0.49125,1,1,"Flanker"
2,98,2,1,1,0.63312,1,1,"Flanker"
2,99,2,0,1,0.38649,1,1,"Flanker"
2,100,2,0,1,0.37622,1,1,"Flanker"
2,101,1,2,1,0.47468,1,1,"Flanker"
2,102,1,0,1,0.40047,1,1,"Flanker"
2,103,1,0,1,0.46893,1,1,"Flanker"
2,104,2,2,1,0.43324,1,1,"Flanker"
2,105,2,1,1,0.45584,1,1,"Flanker"
2,106,2,1,1,0.38918,1,1,"Flanker"
2,107,2,1,1,0.33499,1,1,"Flanker"
2,108,1,2,1,0.37015,1,1,"Flanker"
2,109,2,1,1,0.33427,1,1,"Flanker"
2,110,1,2,1,0.43298,1,1,"Flanker"
2,111,2,2,1,0.34065,1,1,"Flanker"
2,112,2,1,1,0.41539,1,1,"Flanker"
2,113,2,1,1,0.33398,1,1,"Flanker"
2,114,1,1,1,0.34144,1,1,"Flanker"
2,115,2,1,1,0.38415,1,1,"Flanker"
2,116,2,1,1,0.53346,1,1,"Flanker"
2,117,1,2,1,0.46743,1,1,"Flanker"
2,118,2,0,1,0.37675,1,1,"Flanker"
2,119,1,0,1,0.3394,1,1,"Flanker"
2,120,1,1,1,0.43931,1,1,"Flanker"
2,121,2,2,1,0.34033,1,1,"Flanker"
2,122,2,2,0,0.414,1,1,"Flanker"
2,123,1,2,1,0.48337,1,1,"Flanker"
2,124,1,2,1,0.41775,1,1,"Flanker"
2,125,1,0,1,0.32463,1,1,"Flanker"
2,126,1,2,0,0.44704,1,1,"Flanker"
2,127,2,1,1,0.3412,1,1,"Flanker"
2,128,1,0,1,0.42257,1,1,"Flanker"
2,129,2,1,1,0.37968,1,1,"Flanker"
2,130,2,2,1,0.41544,1,1,"Flanker"
2,131,1,1,1,0.4035,1,1,"Flanker"
2,132,1,2,1,0.40825,1,1,"Flanker"
2,133,2,0,1,0.40461,1,1,"Flanker"
2,134,2,2,1,0.42713,1,1,"Flanker"
2,135,2,0,1,0.39646,1,1,"Flanker"
2,136,2,2,1,0.41556,1,1,"Flanker"
2,137,1,0,1,0.41225,1,1,"Flanker"
2,138,2,2,1,0.40104,1,1,"Flanker"
2,139,2,2,1,0.39709,1,1,"Flanker"
2,140,1,2,1,0.40193,1,1,"Flanker"
2,141,2,0,1,0.31775,1,1,"Flanker"
2,142,1,0,1,0.44,1,1,"Flanker"
